"id","experience_R","experience_datatable","usage_frequency","usage_context","usage_area","appreciate_most","biggest_challenges","desired_extra_functionality","satisfaction1_performance","satisfaction1_readability","satisfaction1_concise","satisfaction1_nonbreaking","satisfaction1_mindeps","satisfaction1_errors","satisfaction1_docs","importance_performance","importance_readability","importance_concise","importance_nonbreaking","importance_mindeps","importance_errors","importance_docs","satisfaction2_io","satisfaction2_filter","satisfaction2_reshape","satisfaction2_joins","satisfaction2_manip","pipe_helper_usefulness","walrus_alias","contribution_interest","contribution_areas_interest","contribution_areas_previous","contribution_easier","values_et_al","agreements_et_al","gov_docs_rolemodels","anything_else","responses_sharing"
387,"7+ years","7+ years","Every day","Professionally;Side projects;","Data preparation;In Shiny apps;In production;Statistical analysis;Machine learning;","speed, simplicity","understanding the syntax","built-in parallelization","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Very important","Extremely important","Extremely important","Extremely important","Somewhat important","Important","Extremely important","Somewhat satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Reporting issues;Submitting requests for new features;","I haven't contributed to data.table yet;",NA,"performance, clarity, concise syntax",NA,NA,"Thanks you for this wonderful package",NA
388,"7+ years","7+ years","Every week","Professionally;Side projects;","Data preparation;Statistical analysis;Machine learning;In production;","Efficient and performant","None","Extending with a relationship management","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
389,"12 - 24 months","12 - 24 months","Every month","Professionally;","Data preparation;In Shiny apps;Statistical analysis;","< masked >","< masked >","< masked >","Very satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Extremely important","Somewhat important","Somewhat important","Very important","Somewhat important","Very important","Extremely important","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","I'm not currently interested in contributing to data.table;Reporting issues;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
390,"7+ years","2 - 4 years","Occasionally","Professionally;","Data preparation;","coding efficiency and running speed","sharing codes with my colleagues, who use Tidyverse","yes","Very satisfied","Very satisfied","Very satisfied",NA,NA,NA,"Very satisfied","Extremely important","Extremely important","Extremely important","Very important","Not important at all","Extremely important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;","I haven't contributed to data.table yet;Spreading the word about data.table;Giving talks/tutorials on data.table;",NA,NA,NA,NA,NA,NA
391,"7+ years","7+ years","Occasionally","Professionally;Side projects;","Data preparation;Statistical analysis;Machine learning;As a dependency in my R package(s);","Speed, efficiency, ability to handle large data, concision of syntax",NA,"Better syntax for column moving, renaming, etc.","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Very important","Very important","Very important","Very important","Somewhat important","Somewhat important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;","Spreading the word about data.table;",NA,"Minimal dependencies, speed",NA,NA,NA,NA
392,"7+ years","4 - 7 years","Every day","Professionally;","Statistical analysis;Data preparation;","The flexibility of the `j` argument for `data.table.[`: I can create any kind of structure in it, and just need to end with a table-like to get a data.table at the end.  Also, shell-script input for fread is awesome for grepping large files.","Combining data.table with other objects that extend data.frame (e.g. sf geodata). Remembering to use `x == TRUE` for filtering when x is a logical column.","Sparse data.tables would be awesome, with an option for custom ""not present"" values (like NA or 0)","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very important","Very important","Somewhat important","Extremely important","Somewhat important","Important","Very important","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Somewhat useful to me","setcol","Maybe","Reporting issues;Writing/editing documentation;Reviewing R code;","I haven't contributed to data.table yet;",NA,NA,NA,NA,"I'm very grateful for data.table, as somebody given a dinky work laptop with little RAM for massive files",NA
393,"4 - 7 years","2 - 4 years","Every week","Academic research;Professionally;","Data preparation;As a dependency in my R package(s);","Memory efficiency and speed","idiosyncratic syntax","tighter integration with spatial packages","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very important","Very important","Somewhat important","Somewhat important","Somewhat important","Very important","Extremely important","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Writing/editing documentation;","Reported issues to other packages about compatibility with DT;",NA,NA,NA,NA,NA,NA
394,"7+ years","2 - 4 years","Every day","Professionally;","In production;Data preparation;Statistical analysis;","< masked >","< masked >","< masked >",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Writing/editing documentation;Reviewing R code;Submitting R code;","Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
395,"2 - 4 years","3 - 12 months","Every day","Professionally;Side projects;","Data preparation;Statistical analysis;In production;Machine learning;In Shiny apps;As a dependency in my R package(s);","Stability","Programming on data.table, e.g. using a variable defined earlier in a data.table operation requires specific semantics. Also depending on where in the data.table call (i, j, by, .SDcols) it’s used.","Not necessarily, more refining of current functionality.","Very satisfied","Somewhat dissatisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Important","Very important","Important","Very important","Very important","Important","Important","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Submitting requests for new features;Writing/editing documentation;Reporting issues;","Spreading the word about data.table;Giving talks/tutorials on data.table;",NA,"Forming the foundation for stable and speedy R code","No that concrete but at least having procedures set up for when important contributers have to leave or stop contributing.",NA,"My work wouldn’t be as much fun without data.table :)",NA
396,"4 - 7 years","2 - 4 years","Every day","Academic research;As a student;","Data preparation;Statistical analysis;As a dependency in my R package(s);","It's speed and succinctness.","I'd like to be able to make be able to not change in place on occasion","I'd like version 1.14.9 to go public.","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Extremely important","Extremely important","Somewhat important","Extremely important","Important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied",NA,"Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;Reviewing R code;","I haven't contributed to data.table yet;",NA,"Dependency free, backwards compatible, and open source. All values that are already clearly central to the project",NA,NA,NA,NA
397,"7+ years","4 - 7 years","Every day","Side projects;Professionally;Academic research;","Data preparation;Statistical analysis;In Shiny apps;In production;","Fast, efficient, concise syntax, type checking","I wish more packages were using it. They often operate in the tidyverse and I hate it","More transparency in parallelism. Why aren't operations by independent group systematically parallelised? Also easier ways to pass variable names by reference","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Reporting issues;Submitting requests for new features;Reviewing R code;","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Changing code of other packages to use data.table for improved efficiency ;","I can't really contribute to the code as it's already super efficient and a lot of low level C which I'm not used to","Do not follow the tidy way!",NA,"Postgres. Stability in constraints.","The ability to run commands on a database connection would be a huge advantage. The only thing from the tidyverse that I'm envious of.",NA
